id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
642;2025-05-21 23.35.40;25,5;91,8;3,6;470,0;31,0;19,0;27,0;1;16,6;10,1;14,4;4,0;2,5;0,8;41,1;7,3;192,9;147,7;1;1
649;2025-05-21 23.36.31;25,6;91,3;3,6;470,0;23,0;13,0;21,0;1;12,3;6,9;11,2;4,0;2,5;0,8;30,4;7,3;203,6;147,7;1;1
650;2025-05-21 23.36.39;25,6;91,0;3,6;470,0;32,0;12,0;30,0;1;17,1;6,4;16,0;4,0;2,5;0,8;39,5;7,3;194,5;147,7;1;1
657;2025-05-21 23.37.31;25,5;91,5;3,7;470,0;30,0;24,0;28,0;1;16,0;12,8;15,0;4,0;2,5;0,8;43,8;7,2;190,2;147,8;1;1
661;2025-05-21 23.38.01;25,6;91,3;3,7;470,0;34,0;11,0;33,0;1;18,2;5,9;17,6;4,0;2,5;0,8;41,7;7,2;192,3;147,8;1;1
671;2025-05-21 23.39.16;25,5;91,5;3,6;470,0;36,0;20,0;31,0;1;19,2;10,7;16,6;4,0;2,5;0,8;46,5;7,3;187,5;147,7;1;1
677;2025-05-21 23.39.59;25,6;90,9;3,7;470,0;27,0;20,0;22,0;1;14,4;10,7;11,8;4,0;2,5;0,8;36,9;7,2;197,1;147,8;1;1
693;2025-05-21 23.41.59;25,6;91,7;3,6;470,0;35,0;12,0;33,0;1;18,7;6,4;17,6;4,0;2,5;0,8;42,7;7,3;191,3;147,7;1;1
699;2025-05-21 23.42.43;25,6;91,0;3,6;470,0;35,0;25,0;30,0;1;18,7;13,4;16,0;4,0;2,5;0,8;48,1;7,3;185,9;147,7;1;1
702;2025-05-21 23.43.04;25,6;91,0;3,6;470,0;35,0;26,0;30,0;1;18,7;13,9;16,0;4,0;2,5;0,8;48,6;7,3;185,4;147,7;1;1
707;2025-05-21 23.43.41;25,6;91,0;3,6;470,0;33,0;29,0;32,0;1;17,6;15,5;17,1;4,0;2,5;0,8;50,2;7,3;183,8;147,7;1;1
709;2025-05-21 23.43.55;25,6;91,0;3,6;470,0;39,0;12,0;21,0;1;20,8;6,4;11,2;4,0;2,5;0,8;38,5;7,3;195,5;147,7;1;1
723;2025-05-21 23.45.36;25,6;90,9;3,6;470,0;39,0;25,0;30,0;1;20,8;13,4;16,0;4,0;2,5;0,8;50,2;7,3;183,8;147,7;1;1
724;2025-05-21 23.45.43;25,6;91,0;3,6;470,0;25,0;11,0;24,0;1;13,4;5,9;12,8;4,0;2,5;0,8;32,1;7,3;201,9;147,7;1;1
726;2025-05-21 23.46.05;25,6;91,0;3,6;470,0;24,0;20,0;20,0;1;12,8;10,7;10,7;4,0;2,5;0,8;34,2;7,3;199,8;147,7;1;1
740;2025-05-21 23.47.47;25,5;91,3;3,6;470,0;36,0;17,0;27,0;1;19,2;9,1;14,4;4,0;2,5;0,8;42,7;7,3;191,3;147,7;1;1
741;2025-05-21 23.47.54;25,6;90,9;3,6;470,0;31,0;20,0;29,0;1;16,6;10,7;15,5;4,0;2,5;0,8;42,7;7,3;191,3;147,7;1;1
744;2025-05-21 23.48.16;25,5;91,5;3,6;470,0;35,0;26,0;27,0;1;18,7;13,9;14,4;4,0;2,5;0,8;47,0;7,3;187,0;147,7;1;1
745;2025-05-21 23.48.23;25,5;91,2;3,6;470,0;34,0;21,0;20,0;1;18,2;11,2;10,7;4,0;2,5;0,8;40,1;7,3;193,9;147,7;1;1
747;2025-05-21 23.48.39;25,5;90,9;3,6;470,0;30,0;24,0;24,0;1;16,0;12,8;12,8;4,0;2,5;0,8;41,7;7,3;192,3;147,7;1;1
748;2025-05-21 23.48.46;25,5;91,5;3,6;470,0;27,0;25,0;22,0;1;14,4;13,4;11,8;4,0;2,5;0,8;39,5;7,3;194,5;147,7;1;1
752;2025-05-21 23.49.16;25,6;91,0;3,6;470,0;32,0;17,0;22,0;1;17,1;9,1;11,8;4,0;2,5;0,8;37,9;7,3;196,1;147,7;1;1
