id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
30;2025-05-21 22.20.03;26,8;92,6;4,1;173;39;10;34;1;73,0;18,7;63,6;13,8;11,8;12,2;155,4;37,8;132,6;-32,1;1;0
37;2025-05-21 22.20.54;26,8;92,6;4,1;173;26;11;25;1;48,7;20,6;46,8;13,8;11,8;12,2;116,1;37,8;171,9;-32,1;1;0
38;2025-05-21 22.21.01;26,9;92,8;4,1;173;37;22;33;1;69,3;41,2;61,8;13,8;11,9;12,2;172,2;37,9;115,8;-32,1;1;0
40;2025-05-21 22.21.15;26,9;92,8;4,1;173;39;11;31;1;73,0;20,6;58,0;13,8;11,9;12,2;151,6;37,9;136,4;-32,1;1;0
43;2025-05-21 22.21.37;26,9;92,4;4,1;173;33;14;32;1;61,8;26,2;59,9;13,7;11,8;12,2;147,9;37,8;140,1;-32,0;1;0
54;2025-05-21 22.22.59;26,9;92,6;4,1;173;35;27;23;1;65,5;50,5;43,1;13,8;11,8;12,2;159,1;37,8;128,9;-32,1;1;0
63;2025-05-21 22.24.06;26,9;92,6;4,1;173;28;17;21;1;52,4;31,8;39,3;13,8;11,8;12,2;123,6;37,8;164,4;-32,1;1;0
66;2025-05-21 22.24.29;26,9;92,6;4,1;172;32;18;23;1;59,9;33,7;43,1;13,8;11,8;12,1;136,7;37,7;151,3;-32,0;1;0
75;2025-05-21 22.25.36;26,8;92,4;4,1;173;32;22;22;1;59,9;41,2;41,2;13,7;11,8;12,2;142,3;37,8;145,7;-32,0;1;0
82;2025-05-21 22.26.29;26,8;92,3;4,1;172;29;23;21;1;54,3;43,1;39,3;13,7;11,8;12,1;136,7;37,7;151,3;-31,9;1;0
85;2025-05-21 22.26.52;26,7;92,4;4,1;173;37;10;23;1;69,3;18,7;43,1;13,7;11,8;12,2;131,0;37,8;157,0;-32,0;1;0
90;2025-05-21 22.27.29;26,7;92,9;4;173;27;24;26;1;50,5;44,9;48,7;13,9;11,9;12,3;144,1;38,1;143,9;-32,3;1;0
91;2025-05-21 22.27.37;26,7;92,1;4;172;32;11;31;1;59,9;20,6;58,0;13,8;11,8;12,2;138,5;37,8;149,5;-32,0;1;0
93;2025-05-21 22.27.52;26,7;92,3;4;172;35;17;26;1;65,5;31,8;48,7;13,8;11,9;12,2;146,0;37,9;142,0;-32,1;1;0
94;2025-05-21 22.27.59;26,7;92,6;4;172;38;17;32;1;71,1;31,8;59,9;13,9;11,9;12,2;162,9;37,9;125,1;-32,2;1;0
95;2025-05-21 22.28.06;26,7;92,4;4;172;39;28;26;1;73,0;52,4;48,7;13,8;11,9;12,2;174,1;37,9;113,9;-32,1;1;0
104;2025-05-21 22.29.14;26,7;92,6;4,2;172;38;19;23;1;71,1;35,6;43,1;13,7;11,8;12,1;149,8;37,6;138,2;-31,8;1;0
108;2025-05-21 22.29.44;26,7;92,1;4,1;172;38;10;20;1;71,1;18,7;37,4;13,7;11,8;12,1;127,3;37,6;160,7;-31,8;1;0
126;2025-05-21 22.31.59;26,6;92,9;4;172;30;22;29;1;56,2;41,2;54,3;13,9;11,9;12,2;151,6;38,0;136,4;-32,3;1;0
134;2025-05-21 22.32.59;26,6;91,5;4;172;36;22;35;1;67,4;41,2;65,5;13,7;11,8;12,1;174,1;37,6;113,9;-31,9;1;0
139;2025-05-21 22.33.37;26,5;92,6;4;172;29;13;23;1;54,3;24,3;43,1;13,9;11,9;12,2;121,7;37,9;166,3;-32,2;1;0
